time,year,month,day,mb,dmdt,time,jt
2015-12-15,2015.0,12.0,15.0,-583.4807700832225,4.776733274447963,2015-12-15,2015.9535519125684
2016-01-15,2016.0,1.0,15.0,-571.0174325537785,12.463337529444004,2016-01-15,2016.0409836065573
2016-02-15,2016.0,2.0,15.0,-550.5740640816155,20.443368472163,2016-02-15,2016.1256830601094
2016-03-15,2016.0,3.0,15.0,-548.0041510899295,2.56991299168601,2016-03-15,2016.204918032787
2016-04-15,2016.0,4.0,15.0,-554.8783307623455,-6.874179672416005,2016-04-15,2016.2896174863388
2016-05-15,2016.0,5.0,15.0,-552.0593811502938,2.818949612051709,2016-05-15,2016.3715846994535
2016-06-15,2016.0,6.0,15.0,-539.3528919357018,12.706489214591954,2016-06-15,2016.4562841530055
2016-07-15,2016.0,7.0,15.0,-543.4229318027687,-4.070039867066953,2016-07-15,2016.5382513661202
2016-08-15,2016.0,8.0,15.0,-576.9245302610484,-33.50159845827961,2016-08-15,2016.622950819672
2016-09-15,2016.0,9.0,15.0,-610.8262276919874,-33.901697430938945,2016-09-15,2016.707650273224
2016-10-15,2016.0,10.0,15.0,-561.7687330213444,49.057494670643,2016-10-15,2016.7896174863388
2016-11-15,2016.0,11.0,15.0,-557.6260690592896,4.142663962054655,2016-11-15,2016.8743169398906
2016-12-15,2016.0,12.0,15.0,-552.8493357848417,4.776733274447963,2016-12-15,2016.9562841530055
2017-01-15,2017.0,1.0,15.0,-537.9634463456102,14.885889439231462,2017-01-15,2017.0409836065573
2017-02-15,2017.0,2.0,15.0,-553.0091982525682,-15.045751906958005,2017-02-15,2017.1256830601094
2017-03-15,2017.0,3.0,15.0,-546.305022872176,6.704175380392265,2017-03-15,2017.2021857923498
2017-04-15,2017.0,4.0,15.0,-543.0573620334039,3.247660838771992,2017-04-15,2017.2868852459017
2017-05-15,2017.0,5.0,15.0,-568.9765546224949,-25.919192589090983,2017-05-15,2017.3688524590164
2017-06-15,2017.0,6.0,15.0,-574.8792517313689,-5.902697108874008,2017-06-15,2017.4535519125684
2017-07-15,2017.0,7.0,15.0,-582.2849419102522,-7.405690178883351,2017-07-15,2017.535519125683
2017-08-15,2017.0,8.0,15.0,-615.7865403685319,-33.50159845827961,2017-08-15,2017.620218579235
2017-09-15,2017.0,9.0,15.0,-649.6882377994708,-33.901697430938945,2017-09-15,2017.704918032787
2017-10-15,2017.0,10.0,15.0,-649.5511862721492,0.13705152732162773,2017-10-15,2017.7868852459017
2017-11-15,2017.0,11.0,15.0,-645.4085223100944,4.142663962054655,2017-11-15,2017.8715846994535
2017-12-15,2017.0,12.0,15.0,-640.6317890356465,4.776733274447963,2017-12-15,2017.9535519125684
2018-01-15,2018.0,1.0,15.0,-625.745899596415,14.885889439231462,2018-01-15,2018.0409836065573
2018-02-15,2018.0,2.0,15.0,-617.1411937310712,8.604705865343803,2018-02-15,2018.1256830601094
2018-03-15,2018.0,3.0,15.0,-615.4375041092064,1.703689621864778,2018-03-15,2018.2021857923498
2018-04-15,2018.0,4.0,15.0,-617.90419853592,-2.466694426713614,2018-04-15,2018.2868852459017
2018-05-15,2018.0,5.0,15.0,-617.282613642707,0.6215848932130426,2018-05-15,2018.3688524590164
2018-06-15,2018.0,6.0,15.0,-611.6392510756764,5.6433625670306,2018-06-15,2018.4535519125684
2018-07-15,2018.0,7.0,15.0,-597.9573638684933,13.681887207183024,2018-07-15,2018.535519125683
2018-08-15,2018.0,8.0,15.0,-631.458962326773,-33.50159845827961,2018-08-15,2018.620218579235
2018-09-15,2018.0,9.0,15.0,-665.3606597577119,-33.901697430938945,2018-09-15,2018.704918032787
2018-10-15,2018.0,10.0,15.0,-665.2236082303903,0.13705152732162773,2018-10-15,2018.7868852459017
2018-11-15,2018.0,11.0,15.0,-661.0809442683355,4.142663962054655,2018-11-15,2018.8715846994535
2018-12-15,2018.0,12.0,15.0,-656.3042109938876,4.776733274447963,2018-12-15,2018.9535519125684
2019-01-15,2019.0,1.0,15.0,-641.4183215546561,14.885889439231462,2019-01-15,2019.0409836065573
2019-02-15,2019.0,2.0,15.0,-632.8136156893123,8.604705865343803,2019-02-15,2019.1256830601094
2019-03-15,2019.0,3.0,15.0,-631.1099260674475,1.703689621864778,2019-03-15,2019.2021857923498
2019-04-15,2019.0,4.0,15.0,-636.0722244031665,-4.9622983357190265,2019-04-15,2019.2868852459017
2019-05-15,2019.0,5.0,15.0,-633.1426354295265,2.9295889736400227,2019-05-15,2019.3688524590164
2019-06-15,2019.0,6.0,15.0,-613.7883136998475,19.354321729678983,2019-06-15,2019.4535519125684
2019-07-15,2019.0,7.0,15.0,-631.1363651183535,-17.348051418505975,2019-07-15,2019.535519125683
2019-08-15,2019.0,8.0,15.0,-662.1551618700846,-31.01879675173103,2019-08-15,2019.620218579235
2019-09-15,2019.0,9.0,15.0,-702.6570897868306,-40.50192791674596,2019-09-15,2019.704918032787
2019-10-15,2019.0,10.0,15.0,-707.5605598541786,-4.903470067347996,2019-10-15,2019.7868852459017
2019-11-15,2019.0,11.0,15.0,-687.1544923904166,20.406067463761985,2019-11-15,2019.8715846994535
2019-12-15,2019.0,12.0,15.0,-682.3777591159687,4.776733274447963,2019-12-15,2019.9535519125684
2020-01-15,2020.0,1.0,15.0,-667.4918696767372,14.885889439231462,2020-01-15,2020.0409836065573
2020-02-15,2020.0,2.0,15.0,-653.0144529649012,14.477416711835986,2020-02-15,2020.1256830601094
2020-03-15,2020.0,3.0,15.0,-626.0952436343013,26.919209330599983,2020-03-15,2020.204918032787
2020-04-15,2020.0,4.0,15.0,-646.6839724735703,-20.58872883926898,2020-04-15,2020.2896174863388
2020-05-15,2020.0,5.0,15.0,-646.1841641527243,0.4998083208460002,2020-05-15,2020.3715846994535
2020-06-15,2020.0,6.0,15.0,-635.9258436640533,10.25832048867096,2020-06-15,2020.4562841530055
